Date,Amount,Type,Description
03-02-2024,150.0,Expense,Utilities
14-03-2024,75.5,Expense,Internet Bill
25-03-2024,400.0,Income,Part-time Job
01-04-2024,200.0,Expense,Transportation
01-05-2024,500.0,Income,Freelancing
10-05-2024,1000.0,Income,Bonus
18-06-2024,320.45,Expense,Shopping
19-07-2024,3000.0,Income,Salary
20-07-2024,2500.0,Income,Salary
15-08-2024,190.3,Expense,Entertainment
01-09-2024,275.0,Expense,Dining Out
25-09-2024,350.0,Income,Freelancing
13-10-2024,60.0,Expense,Subscription
01-11-2024,800.0,Income,Consulting
19-11-2024,180.7,Expense,Health and Fitness
01-12-2024,3500.0,Income,Salary
12-12-2024,230.68,Expense,Groceries
24-12-2024,450.25,Expense,Gifts
31-12-2024,150.0,Expense,New Year Party
